subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
01,dlpfc,active,15-80ms,0.015,0.08,0.8443413598912264,86.1676695004562,15.85228218352078,-0.1982500821814266,20.000000000000185,52.706753089757406,0.5742747361067951,0.08031427510889413,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_active_ave.fif,DLPFC_active,True,
01,dlpfc,sham,15-80ms,0.015,0.08,0.5825677327753533,69.88450688022233,16.122800879499703,-0.18574945274212815,20.000000000000004,52.282974294172575,0.49219645048945604,0.08771541013077395,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_sham_ave.fif,DLPFC_sham,True,
01,m1,active,15-80ms,0.015,0.08,0.39370083545312107,66.62095348135246,19.020055962763184,-0.21743817805549545,20.000000000000004,52.88333584171494,0.43702181222779446,0.09235785046227335,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_active_ave.fif,M1_active,True,
01,m1,sham,15-80ms,0.015,0.08,0.33934982725723756,67.82879293292521,18.503022549407866,-0.2005957072432413,20.000000000019742,52.5435598719229,0.36203806771387725,0.09831627476228305,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_sham_ave.fif,M1_sham,True,
01,ppc,active,15-80ms,0.015,0.08,0.49496411227898185,80.97695649645726,20.201300782825758,-0.25738870051543933,20.000000000022474,53.565279497260164,0.5494620042673255,0.08262162712440195,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_active_ave.fif,PPC_active,True,
01,ppc,sham,15-80ms,0.015,0.08,0.43162549639617537,75.2032337185525,18.73950926837943,-0.21790931763407037,20.000000000004384,52.90645500284246,0.42764186650871827,0.09312407278300687,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_sham_ave.fif,PPC_sham,True,
02,dlpfc,active,15-80ms,0.015,0.08,0.7834534531569725,76.48666239130915,15.787692718682854,-0.17632356688779663,20.000000000000004,52.437706550971356,0.5738764932148221,0.08035183115199585,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_active_ave.fif,DLPFC_active,True,
02,dlpfc,sham,15-80ms,0.015,0.08,0.3941721647338021,69.71869033350224,18.04259819376162,-0.19150334982037825,20.00000000000702,52.39637634366177,0.3633122310932394,0.09821804507006242,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_sham_ave.fif,DLPFC_sham,True,
02,m1,active,15-80ms,0.015,0.08,0.41507024049896096,72.44270570991922,18.59894381438403,-0.21234607133633412,20.000000000030234,52.790132810046046,0.41484362701573707,0.09415946925979128,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_active_ave.fif,M1_active,True,
02,m1,sham,15-80ms,0.015,0.08,0.41724754684145415,74.73954569227523,18.56077506421871,-0.2143558215569461,20.000000000000043,52.830096002706476,0.41356346133024025,0.09426241085960964,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_sham_ave.fif,M1_sham,True,
