subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
01,dlpfc,active,15-80ms,0.015,0.08,0.8443413598912264,86.16765651152747,15.852283294156209,-0.19825007956812496,20.000000000000018,52.70675442823455,0.5742747361069777,0.08031427510887693,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_active_ave.fif,DLPFC_active,True,
01,dlpfc,sham,15-80ms,0.015,0.08,0.5824579086140425,69.87440574818854,16.12296075060546,-0.18575205048178772,20.000000000000004,52.28303121226548,0.4921964488046533,0.0877154102762861,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_sham_ave.fif,DLPFC_sham,True,
01,m1,active,15-80ms,0.015,0.08,0.3937046448429153,66.62143607697953,19.020035715265113,-0.21743811690680304,20.000000000000004,52.883345624720576,0.4370218122029216,0.09235785046431358,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_active_ave.fif,M1_active,True,
01,m1,sham,15-80ms,0.015,0.08,0.3393605419444069,67.83108245579479,18.502721601188483,-0.20059596146771314,20.000000000000004,52.54356255634931,0.3620380677938566,0.09831627475612024,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_sham_ave.fif,M1_sham,True,
01,ppc,active,15-80ms,0.015,0.08,0.4948818079128846,80.9682352668575,20.201403435657937,-0.2573902261726219,20.000000000000043,53.56528935177426,0.5494620041735575,0.08262162713299975,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_active_ave.fif,PPC_active,True,
01,ppc,sham,15-80ms,0.015,0.08,0.4316302874474611,75.203821858612,18.739496077950044,-0.21790922597660087,20.000000000002448,52.906455762038306,0.4276418665321108,0.09312407278110386,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_sham_ave.fif,PPC_sham,True,
02,dlpfc,active,15-80ms,0.015,0.08,0.7835405512134814,76.49284067800126,15.787550808749005,-0.1763218857616393,20.000000000000004,52.43765724024063,0.5738764934560581,0.08035183112925157,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_active_ave.fif,DLPFC_active,True,
02,dlpfc,sham,15-80ms,0.015,0.08,0.39426402509767183,69.73015023739158,18.042630556484813,-0.191500677453422,20.000000000002014,52.39641154191212,0.36331223092540765,0.09821804508300762,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_sham_ave.fif,DLPFC_sham,True,
02,m1,active,15-80ms,0.015,0.08,0.415078996221251,72.44373822698975,18.598938653280243,-0.21234585219850477,20.000000002405148,52.79013959216306,0.41484362705682076,0.09415946925648583,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_active_ave.fif,M1_active,True,
02,m1,sham,15-80ms,0.015,0.08,0.41725345053774693,74.74014820126472,18.560808511449785,-0.21435562475411338,20.000000000000004,52.830122121083456,0.41356346136355693,0.09426241085693203,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_sham_ave.fif,M1_sham,True,
02,ppc,active,15-80ms,0.015,0.08,0.776114510237191,88.83315583302209,19.75691475511282,-0.26352670366714276,20.000000000000004,54.491823430396124,0.6483800435893525,0.07299023973886064,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-02_PPC_active_ave.fif,PPC_active,True,
02,ppc,sham,15-80ms,0.015,0.08,0.806407357580542,91.84812526285168,21.676909276343427,0.4838444145483252,45.755012384749385,118.78686261228187,0.5174632479585741,0.08550533848670436,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-02_PPC_sham_ave.fif,PPC_sham,True,
03,dlpfc,active,15-80ms,0.015,0.08,0.21808293691747765,50.00000000003659,14.367869026196992,0.29844960001008125,20.000000000000004,61.838793578135174,0.7127010881905742,0.06597737351015634,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-03_DLPFC_active_ave.fif,DLPFC_active,True,
03,dlpfc,sham,15-80ms,0.015,0.08,0.10000000000000002,299.99999999999994,24.999999999999996,0.3003843760281582,20.00000000000001,53.87652379312646,0.5753711316537415,0.08021078937727459,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-03_DLPFC_sham_ave.fif,DLPFC_sham,True,
03,m1,active,15-80ms,0.015,0.08,0.43442076828433307,72.44649685702352,19.13753616918851,-0.22258720503809049,20.000000000000004,52.98640132915852,0.45034054132524026,0.09125882760748445,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-03_M1_active_ave.fif,M1_active,True,
03,m1,sham,15-80ms,0.015,0.08,0.44835163485070506,77.18271189043165,18.571810732350805,-0.21794695985543175,20.000000000000007,52.91102187249117,0.4292709479678575,0.09299145057091826,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-03_M1_sham_ave.fif,M1_sham,True,
03,ppc,active,15-80ms,0.015,0.08,0.5420118830693458,80.99496709092199,19.387906919893677,-0.24041502273944176,20.000000001489553,53.355216532669445,0.5177468878144901,0.0854802043525365,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-03_PPC_active_ave.fif,PPC_active,True,
