subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
01,dlpfc,active,80-200ms,0.08,0.2,-0.0426085747501822,3.273858167185399,6.9741193171549245,-0.5594614607014038,11.911086223111214,61.185504308426815,0.9424915730867686,0.021800831533184347,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_active_ave.fif,DLPFC_active,False,A1 non-trivial
01,dlpfc,sham,80-200ms,0.08,0.2,0.022355515154518318,1.0000000000153093,4.000000000000001,0.5294549910068622,11.496074218423745,60.94118394486133,0.9249928979568832,0.024897658632678742,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_sham_ave.fif,DLPFC_sham,False,A1 non-trivial
01,m1,active,80-200ms,0.08,0.2,-0.0505667474435563,8.716477215429965,4.277348744381404,-0.58729584466367,12.284984740444093,61.252587297837835,0.9400779847593348,0.022253612437337127,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_active_ave.fif,M1_active,False,A1 non-trivial
01,m1,sham,80-200ms,0.08,0.2,-0.017324158471273495,1.00000000000004,4.000000000000001,-0.581566135826759,12.140619695810415,61.121857614515,0.9482180488427753,0.020686952642068726,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_sham_ave.fif,M1_sham,False,A1 non-trivial
01,ppc,active,80-200ms,0.08,0.2,-0.01707678799432253,1.00000000000048,4.000000000000001,-0.6138340970701188,12.754517079865574,61.504255428215096,0.9197439502058823,0.02575408975044456,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_active_ave.fif,PPC_active,False,A1 non-trivial
01,ppc,sham,80-200ms,0.08,0.2,-0.05451724708496549,14.999999999999423,4.984782905503349,-0.5979830673007724,12.358277003407125,61.25697071868558,0.9394322865896372,0.02237318964791885,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_sham_ave.fif,PPC_sham,False,A1 non-trivial
02,dlpfc,active,80-200ms,0.08,0.2,0.08097285500317249,1.0000000000000002,6.669643271460814,-0.4369116476874201,11.573868374569395,60.90883738828257,0.9600585235091584,0.01816851251675162,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_active_ave.fif,DLPFC_active,False,A1 non-trivial
02,dlpfc,sham,80-200ms,0.08,0.2,-0.021572371375132703,1.0000000000000469,4.000000000000001,-0.5740551208560308,12.06914858176345,61.057900486735754,0.9492541295736244,0.02047894916605812,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_sham_ave.fif,DLPFC_sham,False,A1 non-trivial
02,m1,active,80-200ms,0.08,0.2,-0.05588719589060159,14.999999999999998,5.165600723053665,-0.5922992360170686,12.253755571354443,61.21070514233112,0.9429482422535699,0.021714099801565953,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_active_ave.fif,M1_active,False,A1 non-trivial
02,m1,sham,80-200ms,0.08,0.2,0.011028987403923924,1.0000000000000002,4.029502984428342,0.5947283685031611,12.32221075812184,61.238139832340245,0.9398134811966388,0.022302673525128314,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_sham_ave.fif,M1_sham,False,A1 non-trivial
