subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues,mi_early_late_bits,bins_early,bins_late,resample_n
1,dlpfc,active,early,0.015,0.08,0.8443413598912264,86.1676695004562,15.85228218352078,-0.1982500821814266,20.000000000000185,52.706753089757406,0.5742747361067951,0.0803142751088941,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_active_ave.fif,DLPFC_active,True,,0.4505034924213601,10,8,128
1,dlpfc,sham,early,0.015,0.08,0.5825677327753533,69.88450688022233,16.122800879499703,-0.1857494527421281,20.000000000000004,52.282974294172575,0.492196450489456,0.0877154101307739,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-01_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.6852253755148542,10,9,128
1,m1,active,early,0.015,0.08,0.393700835453121,66.62095348135246,19.020055962763184,-0.2174381780554954,20.000000000000004,52.88333584171494,0.4370218122277944,0.0923578504622733,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_active_ave.fif,M1_active,True,,0.6730289019211955,9,8,128
1,m1,sham,early,0.015,0.08,0.3393498272572375,67.82879293292521,18.503022549407863,-0.2005957072432413,20.000000000019742,52.5435598719229,0.3620380677138772,0.098316274762283,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-01_M1_sham_ave.fif,M1_sham,True,,0.8258776416710429,10,8,128
1,ppc,active,early,0.015,0.08,0.4949641122789818,80.97695649645726,20.20130078282576,-0.2573887005154393,20.000000000022474,53.56527949726016,0.5494620042673255,0.0826216271244019,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_active_ave.fif,PPC_active,True,,0.6050191736859214,8,8,128
1,ppc,sham,early,0.015,0.08,0.4316254963961753,75.2032337185525,18.73950926837943,-0.2179093176340703,20.000000000004384,52.90645500284246,0.4276418665087182,0.0931240727830068,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-01_PPC_sham_ave.fif,PPC_sham,True,,0.6793380811794851,9,8,128
2,dlpfc,active,early,0.015,0.08,0.7834534531569725,76.48666239130915,15.787692718682854,-0.1763235668877966,20.000000000000004,52.43770655097136,0.5738764932148221,0.0803518311519958,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_active_ave.fif,DLPFC_active,True,,0.6664345685420087,11,10,128
2,dlpfc,sham,early,0.015,0.08,0.3941721647338021,69.71869033350224,18.04259819376162,-0.1915033498203782,20.00000000000702,52.39637634366177,0.3633122310932394,0.0982180450700624,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-02_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.632726134331064,11,8,128
2,m1,active,early,0.015,0.08,0.4150702404989609,72.44270570991922,18.59894381438403,-0.2123460713363341,20.00000000003024,52.790132810046046,0.414843627015737,0.0941594692597912,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_active_ave.fif,M1_active,True,,0.6432929872427411,9,8,128
2,m1,sham,early,0.015,0.08,0.4172475468414541,74.73954569227523,18.56077506421871,-0.2143558215569461,20.000000000000043,52.83009600270648,0.4135634613302402,0.0942624108596096,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-02_M1_sham_ave.fif,M1_sham,True,,0.6556009175772612,9,8,128
