subject,site,cond,window,tmin,tmax,roi_names,agg_used_for_entropy,entropy_bins,entropy_shannon_bits,fit_valid,fit_issues,file
1,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.4303041004654165,True,,sub-01_DLPFC_active_ave.fif
1,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.4683241727235425,True,,sub-01_DLPFC_sham_ave.fif
1,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.609645335701513,True,,sub-01_M1_active_ave.fif
1,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5885161287817176,True,,sub-01_M1_sham_ave.fif
1,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6770172705369406,True,,sub-01_PPC_active_ave.fif
1,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.5687703364643153,True,,sub-01_PPC_sham_ave.fif
2,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.4496510272930827,True,,sub-02_DLPFC_active_ave.fif
2,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.5791372913857566,True,,sub-02_DLPFC_sham_ave.fif
2,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.599608390391988,True,,sub-02_M1_active_ave.fif
2,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5829527605545164,True,,sub-02_M1_sham_ave.fif
2,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.5529154810211487,True,,sub-02_PPC_active_ave.fif
2,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.5365069286573734,True,,sub-02_PPC_sham_ave.fif
3,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,11,2.8165926069469043,True,,sub-03_DLPFC_active_ave.fif
3,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.5215103131365293,True,,sub-03_DLPFC_sham_ave.fif
3,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6311830289712526,True,,sub-03_M1_active_ave.fif
3,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.574179301143472,True,,sub-03_M1_sham_ave.fif
3,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.652346123928649,True,,sub-03_PPC_active_ave.fif
3,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.5946727232974496,True,,sub-03_PPC_sham_ave.fif
4,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,15,2.9834195314737655,True,,sub-04_DLPFC_active_ave.fif
4,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.5806566825844173,True,,sub-04_DLPFC_sham_ave.fif
4,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6032561044671794,True,,sub-04_M1_active_ave.fif
4,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5687703364643153,True,,sub-04_M1_sham_ave.fif
4,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.707921269114733,True,,sub-04_PPC_active_ave.fif
4,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.675478095870126,True,,sub-04_PPC_sham_ave.fif
5,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.554292758276497,True,,sub-05_DLPFC_active_ave.fif
5,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.5429914416308472,True,,sub-05_DLPFC_sham_ave.fif
5,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6393470874763296,True,,sub-05_M1_active_ave.fif
5,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,17,2.8511473937562806,True,,sub-05_M1_sham_ave.fif
5,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6706032530244856,True,,sub-05_PPC_active_ave.fif
5,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.568820324398505,True,,sub-05_PPC_sham_ave.fif
6,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,11,2.7138278683421175,True,,sub-06_DLPFC_active_ave.fif
6,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,11,2.696813818145708,True,,sub-06_DLPFC_sham_ave.fif
6,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.4718393624939177,True,,sub-06_M1_active_ave.fif
6,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6119577092162714,True,,sub-06_M1_sham_ave.fif
6,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6328217358194523,True,,sub-06_PPC_active_ave.fif
6,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.60554480222021,True,,sub-06_PPC_sham_ave.fif
7,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.728006774371408,True,,sub-07_DLPFC_active_ave.fif
7,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.612713420429538,True,,sub-07_DLPFC_sham_ave.fif
7,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6024772869448256,True,,sub-07_M1_active_ave.fif
7,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5202727759342007,True,,sub-07_M1_sham_ave.fif
7,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6197485169985804,True,,sub-07_PPC_active_ave.fif
7,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.575766031179611,True,,sub-07_PPC_sham_ave.fif
8,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.5123135175624314,True,,sub-08_DLPFC_active_ave.fif
8,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.589117667509529,True,,sub-08_DLPFC_sham_ave.fif
8,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.626289594747476,True,,sub-08_M1_active_ave.fif
8,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.539298925574623,True,,sub-08_M1_sham_ave.fif
8,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6445975309564735,True,,sub-08_PPC_active_ave.fif
8,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.575766031179611,True,,sub-08_PPC_sham_ave.fif
9,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,16,2.627534887013232,True,,sub-09_DLPFC_active_ave.fif
9,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.640480802458286,True,,sub-09_DLPFC_sham_ave.fif
9,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6195640525932515,True,,sub-09_M1_active_ave.fif
9,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6117594889458755,True,,sub-09_M1_sham_ave.fif
9,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.5165512664561103,True,,sub-09_PPC_active_ave.fif
9,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.591803826744612,True,,sub-09_PPC_sham_ave.fif
10,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,10,2.6044111052988814,True,,sub-10_DLPFC_active_ave.fif
10,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.529372726896251,True,,sub-10_DLPFC_sham_ave.fif
10,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5870169794995492,True,,sub-10_M1_active_ave.fif
10,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5710902219031238,True,,sub-10_M1_sham_ave.fif
10,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,11,2.707512782764789,True,,sub-10_PPC_active_ave.fif
10,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.647198618979761,True,,sub-10_PPC_sham_ave.fif
11,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.6017722402331174,True,,sub-11_DLPFC_active_ave.fif
11,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.747006019487675,True,,sub-11_DLPFC_sham_ave.fif
11,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.626289594747476,True,,sub-11_M1_active_ave.fif
11,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.599608390391988,True,,sub-11_M1_sham_ave.fif
11,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.43408474981304,True,,sub-11_PPC_active_ave.fif
11,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6177228052982526,True,,sub-11_PPC_sham_ave.fif
12,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.691518674254097,True,,sub-12_DLPFC_active_ave.fif
12,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,10,2.7314371367761043,True,,sub-12_DLPFC_sham_ave.fif
12,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.428987564991819,True,,sub-12_M1_active_ave.fif
12,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6084637397437063,True,,sub-12_M1_sham_ave.fif
12,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.64604671036508,True,,sub-12_PPC_active_ave.fif
12,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.489080217453913,True,,sub-12_PPC_sham_ave.fif
13,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.6213434192012177,True,,sub-13_DLPFC_active_ave.fif
13,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.7567703026939525,True,,sub-13_DLPFC_sham_ave.fif
13,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.607926295069257,True,,sub-13_M1_active_ave.fif
13,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5854537836553253,True,,sub-13_M1_sham_ave.fif
13,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.589666139308334,True,,sub-13_PPC_active_ave.fif
13,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6385497849838293,True,,sub-13_PPC_sham_ave.fif
14,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.8168044448012535,True,,sub-14_DLPFC_active_ave.fif
14,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.66639197291203,True,,sub-14_DLPFC_sham_ave.fif
14,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,10,2.659718667034165,True,,sub-14_M1_active_ave.fif
14,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6024772869448256,True,,sub-14_M1_sham_ave.fif
14,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6602561117086148,True,,sub-14_PPC_active_ave.fif
14,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.626289594747476,True,,sub-14_PPC_sham_ave.fif
15,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,13,2.6836181872760525,True,,sub-15_DLPFC_active_ave.fif
15,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.833059295860902,True,,sub-15_DLPFC_sham_ave.fif
15,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6379664579493705,True,,sub-15_M1_active_ave.fif
15,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6278919787367467,True,,sub-15_M1_sham_ave.fif
15,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6115973476882925,True,,sub-15_PPC_active_ave.fif
15,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.5946727232974496,True,,sub-15_PPC_sham_ave.fif
16,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,10,2.6442821670575984,True,,sub-16_DLPFC_active_ave.fif
16,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.527589348364517,True,,sub-16_DLPFC_sham_ave.fif
16,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.512664373796926,True,,sub-16_M1_active_ave.fif
16,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.612712850976897,True,,sub-16_M1_sham_ave.fif
16,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,11,2.6634377439473917,True,,sub-16_PPC_active_ave.fif
16,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.609645335701513,True,,sub-16_PPC_sham_ave.fif
17,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.2993056960592,True,,sub-17_DLPFC_active_ave.fif
17,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,11,2.876669017942597,True,,sub-17_DLPFC_sham_ave.fif
