subject,site,cond,file,roi_names,tmin_early,tmax_early,tmin_late,tmax_late,reason,evoked_nchan,evoked_nt,time0,time_end,sfreq_est,roi_present_n,roi_present,n_early_samples,n_late_samples,resample_n,xN_len,yN_len,bins_early,bins_late,mi_early_late_bits
1,dlpfc,active,sub-01_DLPFC_active_ave.fif,"Fp2,F4,F8,FC2,FC6",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"Fp2,F4,F8,FC2,FC6",65,120,128,128,128,10,8,0.4505034924213601
1,dlpfc,sham,sub-01_DLPFC_sham_ave.fif,"Fp2,F4,F8,FC2,FC6",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"Fp2,F4,F8,FC2,FC6",65,120,128,128,128,10,9,0.6852253755148542
1,m1,active,sub-01_M1_active_ave.fif,"C3,FC1,CP1,FC5,CP5",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"C3,FC1,CP1,FC5,CP5",65,120,128,128,128,9,8,0.6730289019211955
1,m1,sham,sub-01_M1_sham_ave.fif,"C3,FC1,CP1,FC5,CP5",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"C3,FC1,CP1,FC5,CP5",65,120,128,128,128,10,8,0.8258776416710429
1,ppc,active,sub-01_PPC_active_ave.fif,"P3,P7,Pz,CP1,CP5",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"P3,P7,Pz,CP1,CP5",65,120,128,128,128,8,8,0.6050191736859214
1,ppc,sham,sub-01_PPC_sham_ave.fif,"P3,P7,Pz,CP1,CP5",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"P3,P7,Pz,CP1,CP5",65,120,128,128,128,9,8,0.6793380811794851
2,dlpfc,active,sub-02_DLPFC_active_ave.fif,"Fp2,F4,F8,FC2,FC6",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"Fp2,F4,F8,FC2,FC6",65,120,128,128,128,11,10,0.6664345685420087
2,dlpfc,sham,sub-02_DLPFC_sham_ave.fif,"Fp2,F4,F8,FC2,FC6",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"Fp2,F4,F8,FC2,FC6",65,120,128,128,128,11,8,0.632726134331064
2,m1,active,sub-02_M1_active_ave.fif,"C3,FC1,CP1,FC5,CP5",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"C3,FC1,CP1,FC5,CP5",65,120,128,128,128,9,8,0.6432929872427411
2,m1,sham,sub-02_M1_sham_ave.fif,"C3,FC1,CP1,FC5,CP5",0.015,0.08,0.08,0.2,ok,30,601,-0.10000000149011612,0.49999999850988386,999.9999999999991,5,"C3,FC1,CP1,FC5,CP5",65,120,128,128,128,9,8,0.6556009175772612
