channel,T_obs
C3,-0.8616141123478742
C4,-0.5026749507539628
CP1,-0.6353399423681788
CP2,0.0
CP5,-0.6353399423681788
CP6,-0.35300865528300507
Cz,-0.9016141123478743
F3,-0.5026749507539628
F4,-0.18330302779823363
F7,-0.7411699948107624
F8,0.0
FC1,0.0
FC2,0.0
FC5,-0.18330302779823363
FC6,-0.6626749507539629
Fp1,-0.8543070798006102
Fp2,-0.8543070798006102
Fz,-0.35300865528300507
Iz,-0.0
O1,-0.7411699948107624
O2,0.0
P3,-0.8904520271135177
P4,-0.18330302779823363
P7,-0.8104520271135176
P8,-0.4330086552830051
Pz,0.0
T7,-0.35300865528300507
T8,0.0
TP10,0.0
TP9,-0.8104520271135176
