site,analysis,cond,n,pearson_r,pearson_p,mean_diff,median_diff,t,p,W
dlpfc,corr_f2_vs_mi,active,20,0.012503261770231205,0.9582756257097491,,,,,
dlpfc,corr_f2_vs_mi,sham,20,-0.32673201913896865,0.15971068141142208,,,,,
dlpfc,paired_MI_active_minus_sham,active-sham,20,,,0.04214620182422117,0.03421250397051012,0.7585660127809473,0.45741961254117414,
dlpfc,wilcoxon_MI_active_minus_sham,active-sham,20,,,,,,0.6215133666992188,91.0
dlpfc,paired_f2_active_minus_sham,active-sham,20,,,-0.18888524865821238,-0.18259736425366313,-0.6962615429026109,0.4946952690947477,
dlpfc,wilcoxon_f2_active_minus_sham,active-sham,20,,,,,,0.24548721313476562,73.0
m1,corr_f2_vs_mi,active,20,0.05535393960396333,0.8167027820543573,,,,,
m1,corr_f2_vs_mi,sham,20,-0.7824485092003591,4.561850690460255e-05,,,,,
m1,paired_MI_active_minus_sham,active-sham,20,,,-0.07708102307309957,-0.04465949873896902,-2.993568873763207,0.007467276117181114,
m1,wilcoxon_MI_active_minus_sham,active-sham,20,,,,,,0.0072956085205078125,35.0
m1,paired_f2_active_minus_sham,active-sham,20,,,0.08279855803284271,0.04402212063487809,0.6293403872924048,0.5366207873887092,
m1,wilcoxon_f2_active_minus_sham,active-sham,20,,,,,,0.7285060882568359,95.0
ppc,corr_f2_vs_mi,active,20,-0.15580753256187602,0.511855655939857,,,,,
ppc,corr_f2_vs_mi,sham,20,-0.11168694462477084,0.6392201637030197,,,,,
ppc,paired_MI_active_minus_sham,active-sham,20,,,-0.04948955835829145,-0.03637878421065105,-2.179093598356032,0.04211638664401733,
ppc,wilcoxon_MI_active_minus_sham,active-sham,20,,,,,,0.039989471435546875,50.0
ppc,paired_f2_active_minus_sham,active-sham,20,,,-0.024968927676964726,0.17500328206168447,-0.10880784311077717,0.9144958172768216,
ppc,wilcoxon_f2_active_minus_sham,active-sham,20,,,,,,0.2305126190185547,72.0
