window,x,y,filter,n,pearson_r,pearson_p,spearman_r,spearman_p,x_mean,y_mean
early,gamma1,entropy_shannon_bits,all_rows,120,-0.010471177267560274,0.9096274370134064,-0.0001007837094515536,0.9991283317759565,80.31717839390902,2.6123301879210836
early,gamma1,entropy_shannon_bits,fit_valid_only,120,-0.010471177267560274,0.9096274370134064,-0.0001007837094515536,0.9991283317759565,80.31717839390902,2.6123301879210836
early,gamma1,entropy_shannon_bits,no_fit_issues,120,-0.010471177267560274,0.9096274370134064,-0.0001007837094515536,0.9991283317759565,80.31717839390902,2.6123301879210836
late,f2,entropy_shannon_bits,all_rows,120,-0.00710910108690487,0.938574109182821,0.10575423902501088,0.25031653953356114,60.98560042605755,2.8706890914499317
late,f2,entropy_shannon_bits,fit_valid_only,18,-0.051475097223946394,0.8392558353911879,0.1847265221878225,0.4630613329179911,60.613161422687966,2.8553821927401453
late,f2,entropy_shannon_bits,no_fit_issues,18,-0.051475097223946394,0.8392558353911879,0.1847265221878225,0.4630613329179911,60.613161422687966,2.8553821927401453
late,gamma1,entropy_shannon_bits,all_rows,120,-0.11070360240427957,0.22870256503256614,-0.20646088147971342,0.023671069584118583,6.714061143392271,2.8706890914499317
late,gamma1,entropy_shannon_bits,fit_valid_only,18,-0.11484049405650922,0.6500053755810626,-0.09336225167868467,0.7125211299259341,9.739383847626776,2.8553821927401453
late,gamma1,entropy_shannon_bits,no_fit_issues,18,-0.11484049405650922,0.6500053755810626,-0.09336225167868467,0.7125211299259341,9.739383847626776,2.8553821927401453
late,gamma2,entropy_shannon_bits,all_rows,120,-0.14890564145534033,0.1045533063650342,-0.08423183634968606,0.36035837449676833,12.26839022396923,2.8706890914499317
late,gamma2,entropy_shannon_bits,fit_valid_only,18,-0.16862842547110696,0.5035695966145488,-0.08978328173374613,0.7231227825767574,12.01936222829617,2.8553821927401453
late,gamma2,entropy_shannon_bits,no_fit_issues,18,-0.16862842547110696,0.5035695966145488,-0.08978328173374613,0.7231227825767574,12.01936222829617,2.8553821927401453
