window,x,y,filter,n,pearson_r,pearson_p,spearman_r,spearman_p,x_mean,y_mean
early,A1,mi_early_late_bits,all_rows,120,0.11414807759072156,0.21445675086466115,0.041238974928814495,0.6547218340002342,0.5443997903646296,0.6909600655186026
early,A1,mi_early_late_bits,fit_valid_only,120,0.11414807759072156,0.21445675086466115,0.041238974928814495,0.6547218340002342,0.5443997903646296,0.6909600655186026
early,A1,mi_early_late_bits,no_fit_issues,120,0.11414807759072156,0.21445675086466115,0.041238974928814495,0.6547218340002342,0.5443997903646296,0.6909600655186026
early,RMSE_uV,mi_early_late_bits,all_rows,120,-0.10975270792687607,0.23274987087233504,5.555941384818389e-05,0.9995194721202304,0.08135575991790954,0.6909600655186026
early,RMSE_uV,mi_early_late_bits,fit_valid_only,120,-0.10975270792687607,0.23274987087233504,5.555941384818389e-05,0.9995194721202304,0.08135575991790954,0.6909600655186026
early,RMSE_uV,mi_early_late_bits,no_fit_issues,120,-0.10975270792687607,0.23274987087233504,5.555941384818389e-05,0.9995194721202304,0.08135575991790954,0.6909600655186026
early,gamma1,mi_early_late_bits,all_rows,120,-0.0322992186137678,0.7261824518044391,-0.05745216867545091,0.5330974664022163,80.31717839390902,0.6909600655186026
early,gamma1,mi_early_late_bits,fit_valid_only,120,-0.0322992186137678,0.7261824518044391,-0.05745216867545091,0.5330974664022163,80.31717839390902,0.6909600655186026
early,gamma1,mi_early_late_bits,no_fit_issues,120,-0.0322992186137678,0.7261824518044391,-0.05745216867545091,0.5330974664022163,80.31717839390902,0.6909600655186026
late,RMSE_uV,mi_early_late_bits,all_rows,120,-0.1278823862521738,0.16394036686629754,-0.16524758663796096,0.07128294747456983,0.02125313033093512,0.6909600655186026
late,RMSE_uV,mi_early_late_bits,fit_valid_only,18,0.07193363398787536,0.77668172161437,-0.08565531475748193,0.7354104124232369,0.02003439549897833,0.7855972301761855
late,RMSE_uV,mi_early_late_bits,no_fit_issues,18,0.07193363398787536,0.77668172161437,-0.08565531475748193,0.7354104124232369,0.02003439549897833,0.7855972301761855
late,f2,mi_early_late_bits,all_rows,120,-0.221162198746654,0.01520362118401142,-0.22471699423571082,0.01360486709169245,60.98560042605755,0.6909600655186026
late,f2,mi_early_late_bits,fit_valid_only,18,-0.2710099893287727,0.2766956805941405,-0.3952528379772961,0.10449665262201607,60.613161422687966,0.7855972301761855
late,f2,mi_early_late_bits,no_fit_issues,18,-0.2710099893287727,0.2766956805941405,-0.3952528379772961,0.10449665262201607,60.613161422687966,0.7855972301761855
late,gamma2,mi_early_late_bits,all_rows,120,-0.05344747591038059,0.5620669349984051,-0.12912007778317935,0.15986499126780718,12.26839022396923,0.6909600655186026
late,gamma2,mi_early_late_bits,fit_valid_only,18,0.1709543017546269,0.49761470441469746,0.023735810113519093,0.9255178937138382,12.01936222829617,0.7855972301761855
late,gamma2,mi_early_late_bits,no_fit_issues,18,0.1709543017546269,0.49761470441469746,0.023735810113519093,0.9255178937138382,12.01936222829617,0.7855972301761855
